price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,city,house_age,is_renovated,years_since_ren,sqft_ratio,zipcode
367500.0,4.0,3.0,3110,7231,2.0,0,0,3,3110,0,Auburn,18,0,0,0.430033185840708,98092
257950.0,3.0,1.75,1370,5858,1.0,0,0,3,1370,0,Des Moines,28,1,15,0.23382829834442737,98198
275000.0,3.0,1.5,1180,10277,1.0,0,0,3,1180,0,North Bend,32,1,6,0.11480832846857365,98045
750000.0,3.0,1.75,2240,10578,2.0,0,0,5,1550,690,Seattle,92,0,0,0.21174024009830797,98115
435000.0,4.0,1.0,1450,8800,1.0,0,0,4,1450,0,Bellevue,61,1,36,0.1647540052266788,98006
626000.0,3.0,2.25,1750,1572,2.5,0,0,3,1470,280,Seattle,10,0,0,1.112523839796567,98102
612500.0,4.0,2.5,2730,12261,2.0,0,0,3,2730,0,Bothell,24,0,0,0.22263904746370902,98011
495000.0,4.0,1.75,1600,6380,1.0,0,0,3,1130,470,Seattle,56,1,26,0.2507443974298699,98125
285000.0,3.0,2.5,2090,10834,1.0,0,0,4,1360,730,Federal Way,28,0,0,0.19289340101522842,98003
615000.0,3.0,1.75,2360,7291,1.0,0,0,4,1360,1000,Seattle,67,0,0,0.3236423477783873,98136
698000.0,4.0,2.25,2200,11250,1.5,0,0,5,1300,900,Kirkland,95,0,0,0.19553817438449916,98033
675000.0,5.0,2.5,2820,67518,2.0,0,0,3,2820,0,Issaquah,36,1,1,0.04176602141619396,98029
790000.0,3.0,2.5,2600,4750,1.0,0,0,4,1700,900,Seattle,64,1,16,0.5472532098505578,98117
382500.0,4.0,1.75,1560,8700,1.0,0,0,4,1560,0,Kirkland,48,0,0,0.1792897368118607,98034
499950.0,4.0,2.5,2860,3345,2.0,0,0,3,2190,670,Woodinville,11,1,12,0.8547519426180514,98072
650000.0,4.0,2.0,1820,5000,1.5,0,1,3,1640,180,Seattle,70,1,5,0.3639272145570886,98115
625000.0,4.0,2.5,2820,8408,2.0,0,0,3,2820,0,Shoreline,1,0,0,0.3353549768105601,98155
400000.0,4.0,2.5,3630,42884,1.5,0,0,3,2300,1330,Auburn,36,1,1,0.08464498076250437,98092
604000.0,3.0,2.5,3240,33151,2.0,0,2,3,3240,0,Federal Way,20,0,0,0.09773166023166023,98023
440000.0,2.0,1.0,800,4850,1.0,0,0,4,800,0,Seattle,71,0,0,0.16491445062873633,98107
287200.0,3.0,3.0,1850,19966,1.0,0,0,4,1090,760,Maple Valley,23,0,0,0.09265287724745831,98038
403000.0,3.0,2.0,1960,13100,1.0,0,2,5,1650,310,Normandy Park,58,0,0,0.14960690023662315,98166
750000.0,3.0,2.5,2390,6550,1.0,0,2,4,1440,950,Seattle,60,1,6,0.3648297969775607,98116
335000.0,3.0,2.25,1580,16215,1.0,0,0,4,1580,0,Fall City,37,1,15,0.09743463246176616,98024
260000.0,4.0,2.0,1480,8625,1.0,0,0,4,1480,0,Renton,41,0,0,0.17157431022490147,98055
308500.0,2.0,1.0,850,6174,1.0,0,0,4,850,0,Shoreline,65,1,32,0.13765182186234817,98155
439950.0,3.0,2.5,1770,2875,2.0,0,0,3,1770,0,Seattle,25,1,6,0.6154381084840056,98116
235000.0,2.0,1.0,1210,9400,1.0,0,0,2,1210,0,Seattle,66,0,0,0.12870971173279439,98106
315000.0,3.0,1.0,1160,9180,1.0,0,0,3,1160,0,Woodinville,47,1,18,0.12634789238645028,98077
437500.0,3.0,2.25,1970,35100,2.0,0,0,4,1970,0,Issaquah,38,0,0,0.056123757157915725,98027
407500.0,3.0,2.5,1930,10460,2.0,0,0,3,1930,0,Renton,19,0,0,0.18449479017302362,98059
445700.0,3.0,2.5,1270,1180,3.0,0,0,3,1270,0,Seattle,14,0,0,1.0753598645215918,98107
838000.0,4.0,2.5,3310,42998,2.0,0,0,3,3310,0,Redmond,14,0,0,0.07697853438452057,98052
630000.0,4.0,2.75,2710,37277,2.0,0,0,3,2710,0,Issaquah,15,0,0,0.07269703310263426,98027
550000.0,3.0,1.75,2910,35200,1.5,0,0,3,2910,0,Sammamish,36,1,1,0.08266810601971535,98075
805000.0,3.0,2.0,2710,4500,1.5,0,0,4,1880,830,Seattle,86,0,0,0.6020884247944901,98115
284000.0,3.0,1.75,1800,23103,1.0,0,0,3,1800,0,Carnation,47,1,18,0.07790858725761773,98014
470000.0,5.0,2.5,2210,9655,1.0,0,0,3,1460,750,Bothell,39,0,0,0.22887323943661972,98011
430000.0,4.0,1.5,1920,10000,1.0,0,0,4,1070,850,Bellevue,61,1,36,0.19198080191980801,98006
491500.0,4.0,1.75,2190,125452,1.0,0,2,3,2190,0,Auburn,47,1,18,0.017456736785887942,98092
785000.0,5.0,3.25,3660,11995,2.0,0,2,3,3660,0,Snoqualmie,9,0,0,0.3051017005668556,98065
385000.0,3.0,3.25,1320,1327,2.0,0,0,3,1040,280,Seattle,7,0,0,0.9939759036144579,98199
295000.0,2.0,2.5,1630,1368,2.0,0,0,3,1280,350,Seattle,6,0,0,1.1906501095690285,98106
555000.0,4.0,2.5,3310,6500,2.0,0,0,3,3310,0,Snoqualmie,3,1,103,0.5091524380864483,98065
459990.0,3.0,2.5,2680,5539,2.0,0,0,3,2680,0,North Bend,2,1,92,0.48375451263537905,98045
625000.0,4.0,3.25,2730,54014,1.0,0,0,3,1560,1170,Renton,8,0,0,0.05054151624548736,98059
300000.0,3.0,2.5,2540,5050,2.0,0,0,3,2540,0,Kent,9,0,0,0.5028707186695703,98042
625000.0,4.0,2.75,2920,6605,2.0,0,0,3,2920,0,Renton,3,1,103,0.4420224038752649,98059
553000.0,2.0,1.0,900,5000,1.0,0,0,3,900,0,Seattle,71,0,0,0.1799640071985603,98117
379880.0,3.0,2.5,1650,14054,1.0,0,0,4,1130,520,Issaquah,29,0,0,0.11739594450373532,98027
310000.0,3.0,1.0,1010,9945,1.0,0,0,4,1010,0,Snoqualmie,42,0,0,0.10154836115021114,98065
775000.0,2.0,2.5,2680,7392,1.0,0,0,3,2680,0,Redmond,11,1,12,0.3625050723657514,98053
365000.0,3.0,2.5,2200,7350,1.0,0,0,5,1570,630,Renton,27,0,0,0.29927900965854987,98058
331950.0,4.0,2.5,2530,9933,2.0,0,2,3,2010,520,Auburn,25,1,6,0.25468089389973825,98092
783500.0,3.0,2.5,2850,7130,2.0,0,0,3,1990,860,Seattle,35,0,0,0.39966344131257886,98122
628000.0,4.0,2.0,2280,6010,1.0,0,0,3,1140,1140,Seattle,115,1,10,0.3793046082182665,98122
560000.0,3.0,2.5,1900,8744,2.0,0,0,3,1900,0,Sammamish,28,1,15,0.21726700971983992,98074
900000.0,3.0,1.0,1330,77972,1.0,0,0,3,1330,0,Kirkland,87,1,61,0.017057186461980428,98033
531000.0,2.0,3.0,1270,1175,2.0,0,0,3,1110,160,Seattle,15,0,0,1.0799319727891157,98103
831000.0,4.0,3.0,2170,4000,2.0,0,0,4,1610,560,Seattle,33,1,4,0.5423644088977756,98112
780000.0,4.0,2.5,2730,10281,2.0,0,2,3,2730,0,Sammamish,19,0,0,0.2655125461972379,98074
755000.0,4.0,2.5,2120,10202,1.0,0,0,4,1620,500,Bellevue,55,1,14,0.20778202489463884,98005
705380.0,3.0,2.5,2490,4343,2.0,0,0,3,2490,0,Issaquah,12,0,0,0.5732044198895028,98029
627000.0,4.0,2.25,1990,7712,1.0,0,0,3,1210,780,Issaquah,42,1,2,0.2580059639569558,98027
865000.0,4.0,3.0,3690,9892,2.0,0,0,3,3690,0,Sammamish,17,1,9,0.3729910037400182,98075
580000.0,2.0,1.0,2540,7000,1.0,0,0,5,1320,1220,Seattle,73,0,0,0.36280531352663903,98118
410000.0,3.0,2.25,1800,36704,1.0,0,0,4,1360,440,Issaquah,37,1,15,0.049039640375970577,98027
485000.0,4.0,3.0,2340,7048,1.0,0,0,4,1340,1000,Kirkland,36,0,0,0.331961980422755,98034
400000.0,2.0,1.75,2110,9519,1.0,0,0,2,2110,0,Shoreline,67,0,0,0.22163865546218486,98155
549000.0,2.0,1.0,1140,5400,1.0,0,0,5,1140,0,Seattle,107,0,0,0.21107202369931494,98112
620000.0,3.0,1.75,1480,2185,2.5,0,0,3,1480,0,Kirkland,10,0,0,0.6770356816102471,98033
405000.0,2.0,3.0,1410,1240,2.0,0,0,3,1140,270,Seattle,9,0,0,1.1361804995970992,98136
232000.0,2.0,1.0,1200,8063,1.0,0,0,4,1200,0,Des Moines,57,1,43,0.1488095238095238,98198
800866.0,5.0,2.5,3180,13806,2.0,0,0,4,3180,0,Kirkland,25,0,0,0.23031795466067936,98033
650000.0,3.0,1.5,2160,9000,1.0,0,2,4,1400,760,Seattle,66,1,30,0.23997333629596712,98177
823000.0,6.0,1.75,2920,5000,2.5,0,0,4,2780,140,Seattle,107,0,0,0.5838832233553289,98122
770000.0,3.0,2.0,2350,5700,1.5,0,0,4,1810,540,Seattle,76,1,26,0.4122083844939484,98112
524000.0,3.0,1.75,1560,5520,1.0,0,0,4,780,780,Seattle,71,0,0,0.2825575076978808,98199
541125.0,5.0,2.75,2740,8426,1.0,0,0,4,1370,1370,Bellevue,55,1,14,0.32514536608520234,98006
670000.0,3.0,2.5,1680,2000,3.0,0,0,3,1680,0,Seattle,106,1,17,0.8395802098950524,98105
384900.0,5.0,2.5,3090,12750,1.0,0,0,3,1750,1340,Federal Way,47,1,18,0.24233393459336522,98023
406100.0,3.0,2.25,1410,1332,3.0,0,0,3,1410,0,Seattle,10,0,0,1.0577644411102776,98103
1395000.0,5.0,3.5,4010,8510,2.0,0,1,5,2850,1160,Seattle,44,0,0,0.4711549759135237,98105
736500.0,4.0,2.5,3180,21904,2.0,0,3,3,3180,0,Renton,15,0,0,0.1451723350833143,98059
570000.0,3.0,2.25,2010,6000,1.0,0,0,3,1330,680,Redmond,40,0,0,0.33494417597067155,98052
787000.0,3.0,1.75,1330,7500,1.0,0,0,3,1330,0,Bellevue,54,1,11,0.1773096920410612,98004
328000.0,4.0,2.5,2370,6500,2.0,0,0,3,2370,0,Auburn,17,1,9,0.36455929856945085,98092
435000.0,5.0,2.0,1840,9240,1.0,0,0,4,1540,300,Seattle,73,1,57,0.1991126501460881,98133
499000.0,4.0,2.5,2910,6479,2.0,0,0,3,2910,0,Snoqualmie,9,0,0,0.44907407407407407,98065
501000.0,4.0,1.0,2070,7519,1.0,0,0,3,1160,910,Bellevue,52,1,7,0.2752659574468085,98008
1090000.0,4.0,2.5,4340,141570,2.5,0,0,3,4340,0,Redmond,23,0,0,0.030655995931370125,98053
400000.0,2.0,1.0,840,5510,1.0,0,0,3,840,0,Seattle,60,1,10,0.15242242787152968,98136
220000.0,4.0,1.5,1240,9600,1.0,0,0,3,1240,0,Federal Way,44,0,0,0.1291532132069576,98023
657100.0,4.0,1.0,1390,4240,1.0,0,0,3,1050,340,Seattle,91,1,4,0.3277528884697005,98103
309950.0,4.0,2.75,2310,5000,2.0,0,0,3,2310,0,Maple Valley,9,0,0,0.46190761847630474,98038
300000.0,3.0,2.0,1050,10072,1.0,0,0,3,1050,0,Duvall,29,0,0,0.10423905489923559,98019
525888.0,5.0,1.75,2550,71874,1.0,0,0,5,1810,740,Issaquah,55,0,0,0.035478260869565216,98027
740000.0,4.0,1.75,2010,3600,1.5,0,0,3,2010,0,Seattle,113,0,0,0.5581782838100527,98119
340000.0,5.0,1.0,1120,9022,1.5,0,0,4,1120,0,Kirkland,53,0,0,0.12412723041117145,98034
398750.0,3.0,2.5,2230,4000,2.0,0,0,3,2230,0,Seattle,61,1,10,0.5573606598350412,98144
206000.0,2.0,1.0,810,7158,1.0,0,0,5,810,0,Burien,71,0,0,0.1131442938957955,98168
1030000.0,5.0,2.75,3190,16920,1.0,0,3,3,1690,1500,Bellevue,39,0,0,0.18852313693044145,98006
600000.0,3.0,1.75,1670,39639,1.0,0,0,4,1670,0,Sammamish,39,1,23,0.042129162462159433,98075
379950.0,4.0,1.75,1970,9389,1.0,0,0,5,1140,830,Shoreline,55,0,0,0.20979765708200213,98133
287000.0,3.0,1.0,1450,6000,1.0,0,0,4,1450,0,Seattle,62,1,32,0.2416263956007332,98118
2280000.0,7.0,8.0,13540,307752,3.0,0,4,3,9410,4130,Redmond,16,0,0,0.04399632172553964,98053
309950.0,3.0,2.5,1880,7838,2.0,0,0,3,1880,0,Renton,21,0,0,0.2398265084832249,98055
600000.0,3.0,1.75,1880,6360,1.0,0,0,4,1040,840,Seattle,70,0,0,0.2955510139915108,98115
418000.0,3.0,2.0,1410,6030,1.5,0,0,4,1410,0,Seattle,85,0,0,0.23379207428287183,98103
449250.0,4.0,2.0,1480,3844,1.5,0,0,5,1480,0,Seattle,87,1,45,0.38491547464239273,98133
329950.0,2.0,1.0,1140,5250,1.5,0,0,4,1140,0,Seattle,66,1,30,0.21710150447533802,98133
245000.0,3.0,1.75,1920,9306,1.0,0,0,3,1000,920,Auburn,31,0,0,0.20629633609111422,98001
549000.0,4.0,2.5,2910,6338,2.0,0,0,3,2910,0,Renton,7,0,0,0.45906294368196876,98059
800000.0,3.0,2.5,3240,7857,2.0,0,0,3,3240,0,Sammamish,21,0,0,0.4123186561466022,98075
249950.0,3.0,2.0,1550,15040,1.0,0,0,4,1550,0,Renton,57,1,43,0.10305165879928196,98059
210000.0,5.0,2.0,2050,10200,1.0,0,0,3,1430,620,Des Moines,59,1,14,0.20096069012841877,98198
1425000.0,2.0,2.5,2220,4000,2.0,0,0,3,2220,0,Seattle,15,0,0,0.5548612846788303,98112
585000.0,2.0,1.0,1770,8640,1.5,0,0,3,1520,250,Seattle,66,1,17,0.2048374030783474,98117
615000.0,4.0,1.75,2300,11700,1.0,0,0,4,1960,340,Redmond,38,0,0,0.19656439620545252,98052
618500.0,3.0,2.0,1800,5000,1.0,0,0,4,1080,720,Seattle,73,1,33,0.3599280143971206,98115
487585.0,4.0,1.75,2010,9211,1.0,0,0,3,1470,540,Kirkland,38,1,11,0.21819366044290056,98034
509900.0,3.0,2.5,1790,2700,2.0,0,0,3,1790,0,Issaquah,5,0,0,0.6627175120325806,98027
631625.0,4.0,2.5,2440,6651,2.0,0,0,3,2440,0,Seattle,1,0,0,0.3668069753457607,98117
555000.0,3.0,2.5,1940,3211,2.0,0,0,3,1940,0,Issaquah,6,0,0,0.6039850560398505,98027
340000.0,2.0,1.5,1160,1438,2.0,0,0,3,1160,0,Seattle,14,0,0,0.8061153578874218,98144
830000.0,4.0,2.5,3400,9692,2.0,0,0,3,3400,0,Redmond,8,0,0,0.3507685958939441,98052
890000.0,4.0,4.25,4420,5750,2.0,0,0,3,3410,1010,Issaquah,9,0,0,0.7685619892192662,98027
366750.0,3.0,3.0,1571,2017,3.0,0,0,3,1571,0,Seattle,7,0,0,0.7784935579781962,98125
415000.0,3.0,2.25,1620,998,2.5,0,0,3,1540,80,Issaquah,5,0,0,1.6216216216216217,98029
416286.0,3.0,2.5,1408,989,3.0,0,0,3,1408,0,Seattle,10,0,0,1.4222222222222223,98115
478000.0,3.0,2.5,3040,4535,2.0,0,0,3,3040,0,Renton,8,0,0,0.6701940035273368,98056
890000.0,5.0,3.5,4490,6000,2.0,0,0,3,3200,1290,Issaquah,9,0,0,0.7482086318946842,98027
419190.0,2.0,2.5,1590,1426,2.0,0,0,3,1590,0,Issaquah,1,0,0,1.1142256482130344,98029
712198.0,4.0,2.5,2450,4247,2.0,0,0,3,2450,0,Redmond,2,1,92,0.5767419962335216,98052
397000.0,4.0,2.0,1440,7680,1.0,0,0,3,1200,240,Kirkland,44,0,0,0.1874755891160005,98034
450000.0,2.0,2.0,1100,3000,1.5,0,0,3,1100,0,Seattle,103,1,10,0.3665444851716095,98117
353000.0,3.0,1.0,1350,7740,1.0,0,0,4,860,490,Seattle,68,1,27,0.17439607285880376,98125
609000.0,4.0,2.5,2150,37981,2.0,0,0,3,2150,0,Redmond,30,0,0,0.05660576062345322,98052
234000.0,3.0,1.75,1490,8366,1.0,0,0,4,1010,480,Covington,40,0,0,0.1780805545595793,98042
561000.0,3.0,2.0,2000,7000,2.0,0,0,3,2000,0,Seattle,99,1,29,0.28567347521782605,98136
469000.0,2.0,1.0,1030,4400,1.0,0,0,3,1030,0,Seattle,91,1,4,0.23403771870029538,98117
329350.0,2.0,1.0,720,6687,1.0,0,0,3,720,0,Seattle,73,1,16,0.1076555023923445,98117
488000.0,5.0,2.0,2020,5000,1.5,0,0,4,2020,0,Seattle,77,0,0,0.4039192161567686,98117
279900.0,3.0,1.75,1580,8151,1.0,0,1,4,1100,480,Des Moines,53,0,0,0.19381746810598627,98198
606000.0,4.0,2.5,2110,13850,2.0,0,0,3,2110,0,Issaquah,28,1,15,0.1523355714388853,98027
312000.0,4.0,2.0,1300,7054,1.0,0,0,3,1300,0,Seattle,65,1,2,0.18426647767540752,98146
650000.0,3.0,1.5,1630,7475,1.0,0,1,3,1160,470,Seattle,75,1,19,0.2180310326377742,98115
1135000.0,4.0,2.75,3370,8103,1.0,0,3,3,1970,1400,Seattle,45,1,1,0.4158440276406713,98136
325000.0,4.0,2.5,1890,6156,1.0,0,0,3,980,910,Seattle,35,0,0,0.30696767906447947,98106
425000.0,4.0,2.0,1520,7983,1.0,0,0,5,1520,0,Inglewood-Finn Hill,48,0,0,0.1903807615230461,98034
219000.0,2.0,1.0,900,5160,1.0,0,0,3,900,0,Seattle,63,1,7,0.17438480914551444,98106
250000.0,3.0,1.0,1050,6874,1.0,0,0,3,1050,0,Shoreline,61,1,10,0.15272727272727274,98133
390000.0,3.0,1.75,1260,6500,1.0,0,0,4,1260,0,Bellevue,49,0,0,0.19381633594831565,98008
475000.0,6.0,3.0,3470,117612,1.5,0,0,3,3470,0,Kenmore,91,1,4,0.02950354127519917,98028
736000.0,4.0,2.5,2290,12047,2.0,0,0,4,2290,0,Bellevue,27,0,0,0.1900730411686587,98006
407000.0,4.0,2.25,2810,23400,1.0,0,1,3,1710,1100,Des Moines,57,1,11,0.12008033844707491,98198
272000.0,3.0,2.5,1650,13816,2.0,0,0,3,1650,0,Carnation,17,1,9,0.11941810812766881,98014
362000.0,3.0,2.25,1640,14374,1.0,0,0,4,1140,500,Burien,52,0,0,0.11408695652173913,98148
535000.0,3.0,2.5,1850,10109,2.0,0,0,3,1850,0,Kirkland,24,0,0,0.18298714144411474,98034
284000.0,4.0,2.5,2000,5390,2.0,0,0,3,2000,0,Kent,12,0,0,0.3709886848451122,98042
367500.0,3.0,1.5,1410,9647,1.0,0,0,3,1410,0,Shoreline,54,1,11,0.14614427860696516,98177
379900.0,4.0,1.75,1500,11600,1.0,0,0,4,1000,500,Kenmore,60,1,6,0.12929919834497025,98028
520000.0,3.0,2.5,2460,54885,2.0,0,0,4,2460,0,Renton,35,0,0,0.04482017272164122,98059
175000.0,3.0,1.0,1010,7034,1.0,0,0,3,1010,0,Renton,61,1,10,0.1435678749111585,98057
460000.0,2.0,2.25,1230,929,2.0,0,0,3,1020,210,Seattle,11,1,12,1.3225806451612903,98112
345000.0,4.0,2.5,2331,3826,2.0,0,0,3,2331,0,Renton,8,0,0,0.6090932845570943,98058
455000.0,5.0,2.5,2240,7770,1.0,0,0,3,1340,900,Kirkland,37,0,0,0.28825119032299573,98034
610000.0,4.0,3.0,2450,10117,1.0,0,0,5,1580,870,Bellevue,48,0,0,0.24214271595176912,98006
563000.0,4.0,3.0,3100,15480,2.0,0,0,3,2400,700,Kenmore,19,0,0,0.20024546217944578,98028
612500.0,4.0,2.0,2060,5000,1.0,0,0,3,1030,1030,Seattle,66,1,2,0.41191761647670466,98117
218000.0,3.0,1.75,1850,7684,1.0,0,0,3,1320,530,Federal Way,36,1,1,0.24072869225764476,98023
404000.0,4.0,1.75,1840,10720,1.0,0,0,3,960,880,Bellevue,57,1,11,0.171625781177129,98008
860000.0,4.0,2.0,3740,32417,2.0,0,0,3,3740,0,Redmond,15,0,0,0.11536800542908261,98053
136500.0,3.0,1.5,1420,8580,1.0,0,0,3,1420,0,Federal Way,53,1,12,0.16548187856893137,98023
313950.0,3.0,1.0,1510,6083,1.0,0,0,4,860,650,Seattle,75,1,14,0.24819197896120973,98115
575000.0,3.0,1.75,2130,6500,1.0,0,2,3,1170,960,Seattle,61,1,10,0.32764190124596215,98199
1225000.0,4.0,2.25,3490,6906,2.0,0,0,4,2280,1210,Seattle,87,0,0,0.5052844939916027,98199
280000.0,3.0,1.75,1630,11800,1.0,0,0,4,1630,0,North Bend,44,0,0,0.13812388780611812,98045
515000.0,3.0,2.5,1790,7167,2.0,0,0,3,1790,0,Sammamish,26,0,0,0.24972098214285715,98074
513000.0,4.0,2.5,2000,5684,2.0,0,0,3,2000,0,Kenmore,19,0,0,0.3518029903254178,98028
599000.0,4.0,2.25,2260,29930,2.0,0,0,4,1400,860,Bellevue,38,0,0,0.07550699943202699,98006
685000.0,4.0,2.5,3030,7864,2.0,0,0,3,3030,0,Sammamish,16,0,0,0.3852511125238398,98074
365000.0,3.0,1.5,1310,8160,1.0,0,0,3,1310,0,Seattle,65,1,10,0.16051954417350814,98133
762300.0,4.0,2.5,3880,14550,2.0,0,0,3,3880,0,Sammamish,28,1,15,0.2666483403202529,98074
1580000.0,4.0,3.25,3760,10920,1.5,0,0,5,2400,1360,Seattle,65,0,0,0.34429081585935356,98105
562000.0,5.0,2.25,3040,8111,2.0,0,0,3,3040,0,Redmond,31,0,0,0.3747534516765286,98052
530000.0,5.0,2.5,2910,9636,1.0,0,0,4,1690,1220,Bellevue,51,0,0,0.3019611912420878,98008
525000.0,3.0,2.5,2970,11985,1.0,0,0,3,1770,1200,Sammamish,20,0,0,0.2477890872684799,98074
484000.0,2.0,1.75,1660,6000,1.0,0,0,3,1160,500,Seattle,73,1,16,0.2766205632394601,98105
725126.0,4.0,2.5,3200,12369,2.0,0,0,3,3200,0,Newcastle,17,1,9,0.2586903799514956,98059
360000.0,4.0,2.0,2680,18768,1.0,0,0,5,2680,0,Auburn,50,0,0,0.1427886408439448,98001
387000.0,3.0,1.0,1230,9568,1.0,0,0,5,1230,0,Newcastle,53,0,0,0.12854007733305464,98056
483500.0,4.0,2.5,2740,45732,2.0,0,0,3,2740,0,Woodinville,20,0,0,0.05991297312662629,98077
655500.0,4.0,3.5,3380,8330,2.0,0,0,3,3380,0,Shoreline,15,0,0,0.40571359980794625,98177
345000.0,3.0,1.0,1110,6250,1.0,0,0,3,1110,0,Seattle,59,1,14,0.17757158854583266,98115
533000.0,5.0,2.75,1800,3780,1.5,0,0,3,1400,400,Seattle,89,1,12,0.47606453319227715,98103
385000.0,3.0,1.75,1900,5520,1.0,0,0,3,1280,620,Seattle,33,0,0,0.34414055424741896,98118
675000.0,2.0,1.0,930,36478,1.0,0,2,3,930,0,Bellevue,64,1,21,0.02549411990460265,98006
197000.0,3.0,1.75,1690,7735,1.0,0,0,4,1060,630,Auburn,39,1,23,0.21845915201654603,98001
485000.0,3.0,2.0,1420,4080,1.5,0,0,3,1420,0,Seattle,110,1,2,0.34795393285959325,98103
1870000.0,5.0,4.0,4510,15175,2.0,0,0,3,4510,0,Mercer Island,46,1,13,0.2971797575118608,98040
295000.0,3.0,2.25,1980,8000,1.0,0,0,4,1560,420,Federal Way,41,0,0,0.24746906636670415,98023
499000.0,2.0,1.75,1170,2400,1.0,0,0,4,740,430,Seattle,112,0,0,0.4872969596001666,98103
1050000.0,3.0,2.5,2200,1970,2.0,0,0,3,1610,590,Seattle,7,0,0,1.1161846778285134,98102
191000.0,3.0,1.5,800,8850,1.0,0,0,4,800,0,Federal Way,56,0,0,0.09038526720144617,98023
500000.0,3.0,2.5,1480,1171,3.0,0,0,3,1480,0,Seattle,9,0,0,1.2627986348122866,98112
390000.0,5.0,3.75,2890,5000,1.0,0,0,3,1310,1580,Seattle,9,0,0,0.5778844231153769,98144
979000.0,3.0,2.5,2690,4047,3.0,0,0,3,2690,0,Seattle,1,0,0,0.6645256916996047,98117
580000.0,4.0,3.25,3569,8327,2.0,0,0,3,3569,0,Renton,2,1,92,0.4285542747358309,98055
369950.0,3.0,2.0,1270,1320,3.0,0,0,3,1270,0,Seattle,9,0,0,0.9613928841786525,98103
1800000.0,5.0,5.0,4490,10279,2.0,0,0,3,3930,560,Bellevue,2,1,92,0.4367704280155642,98004
776000.0,4.0,2.5,3040,6425,2.0,0,0,3,3040,0,Redmond,7,0,0,0.47307812013694367,98052
519950.0,3.0,2.25,1170,1249,3.0,0,0,3,1170,0,Seattle,1,0,0,0.936,98107
255000.0,5.0,2.25,2060,8632,1.0,0,0,3,1030,1030,Burien,53,1,12,0.2386192517085602,98146
495000.0,3.0,1.0,990,6000,1.0,0,0,3,990,0,Seattle,72,1,13,0.16497250458256957,98105
510000.0,4.0,2.5,2430,5203,2.0,0,0,3,2430,0,Shoreline,12,0,0,0.46694850115295927,98155
1150000.0,4.0,4.0,4460,103382,2.0,0,0,3,4460,0,Redmond,14,0,0,0.0431405550235532,98053
253000.0,3.0,1.75,1250,10122,1.0,0,0,3,1250,0,Black Diamond,21,0,0,0.12348118146794429,98010
503000.0,3.0,2.75,1540,6760,1.0,0,0,5,1210,330,Kirkland,35,0,0,0.22777695607158704,98034
275000.0,3.0,2.5,1600,7000,2.0,0,0,4,1600,0,Maple Valley,22,0,0,0.22853878017426082,98038
249000.0,3.0,1.0,1110,8423,1.0,0,0,3,1110,0,Burien,63,1,7,0.13176638176638178,98166
310000.0,3.0,1.75,1840,10723,1.0,0,0,4,1220,620,Renton,41,0,0,0.17157776948899664,98058
750000.0,3.0,2.75,2520,5401,1.0,0,0,4,1360,1160,Seattle,69,1,26,0.4664938911514254,98119
